pop_size,mutation_rate,fitness_mode,selection_method,crossover_method,generations,mean_best,std_best,min_best,mean_time
101,0.01,exp,rank,pmx,50,12675.318709771644,667.2046863158461,11730.680181756692,158.42562260627747
101,0.01,exp,tournament,pmx,50,12145.295563199166,596.8263079548839,11600.506159492485,3.533586549758911
101,0.01,exp,roulette,pmx,50,13918.679268462549,839.1095285992568,12926.641685989114,91.0933310508728
101,0.01,exp,rank,ox,50,11130.385825522657,575.082348889154,10102.125850668423,174.0629807472229
101,0.01,exp,tournament,ox,50,10420.219528945265,303.66604957280623,9860.97646060763,4.499433898925782
101,0.01,exp,roulette,ox,50,11920.85012642612,808.4167107883749,10910.15753178314,98.49752264022827
101,0.01,exp,rank,cx,50,15255.051453803997,551.7153609677079,14640.58252293316,358.1194197654724
101,0.01,exp,tournament,cx,50,14809.41847598188,547.2478024210625,14288.71049591436,19.221244907379152
101,0.01,exp,roulette,cx,50,14432.362976667257,879.4766841685969,12993.548651378962,187.31304807662963
101,0.05,exp,rank,pmx,50,11979.36614602766,699.8466870140768,10710.861914678373,322.109698343277
101,0.05,exp,tournament,pmx,50,11186.641825600609,702.523445648086,10442.041478323348,6.471921730041504
101,0.05,exp,roulette,pmx,50,11341.659730438862,224.37651971029482,11078.573581008848,148.4749183177948
101,0.05,exp,rank,ox,50,10735.224662511122,425.5391991555847,9956.723625005092,285.34088530540464
101,0.05,exp,tournament,ox,50,9969.692931768108,626.8888877773674,9161.439845979308,8.707971382141114
101,0.05,exp,roulette,ox,50,10906.91669342433,829.114592195843,9689.029364213795,120.30931572914123
101,0.05,exp,rank,cx,50,13479.071462857642,608.3468581699817,12490.211077014388,235.72694258689882
101,0.05,exp,tournament,cx,50,13068.105515335095,421.79703751510937,12652.618261255664,6.846491956710816
101,0.05,exp,roulette,cx,50,11322.19684334547,560.6812647479042,10492.18918065536,73.28861689567566
101,0.1,exp,rank,pmx,50,11677.764505158326,501.878296134935,10737.451645735082,124.99666447639466
101,0.1,exp,tournament,pmx,50,10841.438940156087,608.2508546912402,9698.432438110722,2.6543366432189943
101,0.1,exp,roulette,pmx,50,10948.181875864708,348.9518942223987,10265.57817938749,61.61936407089233
101,0.1,exp,rank,ox,50,10796.735303197447,369.2612763994945,10402.259276725927,113.97305102348328
101,0.1,exp,tournament,ox,50,10649.14800230658,668.0840221054681,9596.964890474997,3.8719104766845702
101,0.1,exp,roulette,ox,50,10231.655339923545,368.2357430525011,9616.212563629171,64.25401868820191
101,0.1,exp,rank,cx,50,13013.654795177707,466.7086711307401,12314.112419370344,116.46261954307556
101,0.1,exp,tournament,cx,50,12605.456052668864,369.0935443292562,12039.464662673898,6.851898670196533
101,0.1,exp,roulette,cx,50,11407.799221372228,905.9463056829065,10003.102516568815,65.8699333190918
